sample_id,history_len,target_sid,target_rank,exact_hit,prefix_hit,first_err_pos,legal_top20
342,0,"[23, 30, 201, 0]",-1,0,0,0,1
343,0,"[53, 98, 88, 0]",-1,0,0,0,1
344,0,"[44, 45, 124, 0]",-1,0,0,0,1
345,0,"[57, 46, 4, 0]",-1,0,0,0,1
346,0,"[42, 3, 171, 0]",-1,0,0,0,1
347,0,"[50, 12, 43, 0]",-1,0,0,0,1
348,0,"[51, 92, 193, 0]",-1,0,0,0,1
349,0,"[63, 37, 166, 0]",-1,0,0,0,1
350,0,"[4, 9, 113, 0]",-1,0,0,0,1
351,0,"[63, 58, 172, 0]",-1,0,0,0,1
352,0,"[46, 42, 73, 0]",-1,0,0,0,1
353,0,"[3, 102, 153, 0]",-1,0,0,0,1
354,0,"[54, 38, 225, 0]",-1,0,0,0,1
355,0,"[50, 15, 254, 0]",-1,0,0,0,1
356,0,"[58, 78, 225, 0]",-1,0,0,0,1
357,0,"[1, 84, 51, 0]",-1,0,0,0,1
358,0,"[3, 0, 78, 0]",-1,0,0,0,1
359,0,"[61, 21, 244, 0]",-1,0,0,0,1
360,0,"[51, 57, 166, 0]",-1,0,0,0,1
361,0,"[34, 89, 206, 0]",-1,0,0,0,1
362,0,"[15, 85, 210, 0]",-1,0,0,0,1
363,0,"[30, 88, 86, 0]",-1,0,0,0,1
364,0,"[12, 38, 150, 0]",-1,0,0,0,1
365,0,"[62, 75, 183, 0]",-1,0,0,0,1
366,0,"[34, 60, 208, 0]",-1,0,0,0,1
367,0,"[6, 122, 90, 0]",-1,0,0,0,1
368,0,"[58, 112, 152, 0]",-1,0,0,0,1
369,0,"[56, 29, 133, 0]",-1,0,0,0,1
370,0,"[2, 11, 215, 0]",-1,0,0,0,1
371,0,"[13, 51, 31, 0]",-1,0,0,0,1
372,0,"[25, 59, 218, 0]",-1,0,0,0,1
373,0,"[58, 112, 152, 0]",-1,0,0,0,1
374,0,"[33, 56, 5, 0]",-1,0,0,0,1
375,0,"[21, 16, 101, 0]",-1,0,0,0,1
376,0,"[13, 91, 7, 0]",-1,0,0,0,1
377,0,"[27, 62, 199, 0]",-1,0,0,0,1
378,0,"[30, 79, 46, 0]",-1,0,0,0,1
379,0,"[43, 13, 136, 0]",-1,0,0,0,1
380,0,"[6, 85, 202, 0]",-1,0,0,0,1
381,0,"[52, 123, 79, 0]",-1,0,0,0,1
382,0,"[53, 58, 10, 0]",-1,0,0,0,1
383,0,"[18, 104, 249, 0]",-1,0,0,0,1
384,0,"[51, 63, 86, 0]",-1,0,0,0,1
385,0,"[51, 79, 21, 0]",-1,0,0,0,1
386,0,"[52, 86, 178, 0]",-1,0,0,0,1
387,0,"[4, 87, 29, 0]",-1,0,0,0,1
388,0,"[10, 84, 209, 0]",-1,0,0,0,1
389,0,"[53, 101, 214, 0]",-1,0,0,0,1
390,0,"[38, 23, 15, 0]",-1,0,0,0,1
391,0,"[52, 88, 169, 0]",-1,0,0,0,1
392,0,"[42, 87, 174, 0]",-1,0,0,0,1
393,0,"[53, 103, 15, 0]",-1,0,0,0,1
394,0,"[44, 39, 179, 0]",-1,0,0,0,1
395,0,"[54, 107, 204, 0]",-1,0,0,0,1
396,0,"[58, 109, 130, 0]",-1,0,0,0,1
397,0,"[38, 118, 182, 0]",-1,0,0,0,1
398,0,"[44, 105, 21, 0]",-1,0,0,0,1
399,0,"[39, 42, 4, 0]",-1,0,0,0,1
400,0,"[62, 80, 151, 0]",-1,0,0,0,1
401,0,"[23, 85, 177, 0]",-1,0,0,0,1
402,0,"[60, 61, 116, 0]",-1,0,0,0,1
403,0,"[16, 53, 214, 0]",-1,0,0,0,1
404,0,"[22, 37, 95, 0]",-1,0,0,0,1
405,0,"[46, 76, 192, 0]",-1,0,0,0,1
406,0,"[42, 52, 28, 0]",-1,0,0,0,1
407,0,"[59, 74, 119, 0]",-1,0,0,0,1
408,0,"[58, 11, 59, 0]",-1,0,0,0,1
409,0,"[38, 74, 151, 0]",-1,0,0,0,1
410,0,"[17, 113, 61, 0]",-1,0,0,0,1
411,0,"[57, 20, 25, 0]",-1,0,0,0,1
412,0,"[10, 111, 179, 0]",-1,0,0,0,1
413,0,"[23, 64, 210, 0]",-1,0,0,0,1
414,0,"[16, 2, 60, 0]",-1,0,0,0,1
415,0,"[21, 24, 160, 0]",-1,0,0,0,1
416,0,"[13, 43, 243, 0]",-1,0,0,0,1
417,0,"[56, 18, 61, 0]",-1,0,0,0,1
418,0,"[56, 8, 11, 0]",-1,0,0,0,1
419,0,"[7, 78, 59, 0]",-1,0,0,0,1
420,0,"[14, 77, 45, 0]",-1,0,0,0,1
421,0,"[4, 46, 59, 0]",-1,0,0,0,1
422,0,"[46, 21, 240, 0]",-1,0,0,0,1
423,0,"[26, 62, 54, 0]",-1,0,0,0,1
424,0,"[16, 104, 78, 0]",-1,0,0,0,1
425,0,"[6, 85, 202, 0]",-1,0,0,0,1
426,0,"[17, 113, 61, 0]",-1,0,0,0,1
427,0,"[24, 59, 172, 0]",-1,0,0,0,1
428,0,"[36, 118, 137, 0]",-1,0,0,0,1
429,0,"[52, 88, 169, 0]",-1,0,0,0,1
430,0,"[13, 68, 135, 0]",-1,0,0,0,1
431,0,"[37, 77, 51, 0]",-1,0,0,0,1
432,0,"[4, 45, 17, 0]",-1,0,0,0,1
433,0,"[52, 38, 10, 0]",-1,0,0,0,1
434,0,"[58, 67, 237, 0]",-1,0,0,0,1
435,0,"[4, 84, 25, 0]",-1,0,0,0,1
436,0,"[56, 68, 198, 0]",-1,0,0,0,1
437,0,"[43, 50, 229, 0]",-1,0,0,0,1
438,0,"[31, 123, 31, 0]",-1,0,0,0,1
439,0,"[43, 58, 204, 0]",-1,0,0,0,1
440,0,"[18, 27, 92, 0]",-1,0,0,0,1
441,0,"[5, 120, 237, 0]",-1,0,0,0,1
442,0,"[55, 100, 93, 0]",-1,0,0,0,1
443,0,"[33, 85, 140, 0]",-1,0,0,0,1
444,0,"[42, 95, 122, 0]",-1,0,0,0,1
445,0,"[56, 107, 12, 0]",-1,0,0,0,1
446,0,"[42, 118, 167, 0]",-1,0,0,0,1
