sample_idx,canary_exact,stage4_exact,canary_prefix3,stage4_prefix3,canary_first1,stage4_first1,canary_last1,stage4_last1,canary_top1_eq,stage4_top1_eq,canary_rank,stage4_rank
325,0,0,0,0,0,1,1,1,0,0,21,21
326,0,0,0,0,0,1,1,1,0,0,21,21
327,0,0,0,0,0,0,1,1,0,0,21,21
328,0,0,0,0,0,0,1,1,0,0,21,21
329,0,0,0,0,0,1,1,1,0,0,21,21
330,0,0,0,0,0,1,1,1,0,0,21,21
331,0,0,0,0,0,0,1,1,0,0,21,21
332,0,0,0,0,0,0,1,1,0,0,21,21
333,0,0,0,0,0,0,1,1,0,0,21,21
334,0,0,0,0,0,0,1,1,0,0,21,21
335,0,1,0,1,0,1,1,1,0,0,21,9
336,0,0,0,0,0,1,1,1,0,0,21,21
337,0,0,0,0,0,0,1,1,0,0,21,21
338,0,0,0,0,0,0,1,1,0,0,21,21
339,0,0,0,0,0,0,1,1,0,0,21,21
340,0,0,0,0,0,0,1,1,0,0,21,21
341,0,0,0,0,0,0,1,1,0,0,21,21
342,0,0,0,0,0,1,1,1,0,0,21,21
343,0,0,0,0,0,0,1,1,0,0,21,21
344,0,0,0,0,0,0,1,1,0,0,21,21
345,0,0,0,0,0,0,1,1,0,0,21,21
346,0,0,0,0,0,0,1,1,0,0,21,21
347,0,0,0,0,0,1,1,1,0,0,21,21
348,0,0,0,0,0,0,1,1,0,0,21,21
349,0,0,0,0,0,1,1,1,0,0,21,21
350,0,0,0,0,0,0,1,1,0,0,21,21
351,0,0,0,0,0,1,1,1,0,0,21,21
352,0,0,0,0,0,0,1,1,0,0,21,21
353,0,0,0,0,0,1,1,1,0,0,21,21
354,0,0,0,0,0,0,1,1,0,0,21,21
355,0,0,0,0,0,0,1,1,0,0,21,21
356,0,0,0,0,0,1,1,1,0,0,21,21
357,0,0,0,0,0,1,1,1,0,0,21,21
358,0,0,0,0,0,0,1,1,0,0,21,21
359,0,0,0,0,0,0,1,1,0,0,21,21
360,0,0,0,0,0,0,1,1,0,0,21,21
361,0,0,0,0,0,1,1,1,0,0,21,21
362,0,0,0,0,0,0,1,1,0,0,21,21
363,0,0,0,0,0,1,1,1,0,0,21,21
364,0,0,0,0,0,1,1,1,0,0,21,21
365,0,0,0,0,0,0,1,1,0,0,21,21
366,0,0,0,0,0,1,1,1,0,0,21,21
367,0,0,0,0,0,1,1,1,0,0,21,21
368,0,1,0,1,0,1,1,1,0,1,21,1
